PassengerID,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
92,0,3,0,20,0,0,7.8542
704,0,3,0,25,0,0,7.7417
442,0,3,0,20,0,0,9.5
721,1,2,1,6,0,1,33
659,0,2,0,23,0,0,13
568,0,3,1,29,0,4,21.075
647,0,3,0,19,0,0,7.8958
319,1,1,1,31,0,2,164.8667
799,0,3,0,30,0,0,7.2292
175,0,1,0,56,0,0,30.6958
776,0,3,0,18,0,0,7.75
786,0,3,0,25,0,0,7.25
147,1,3,0,27,0,0,7.7958
291,1,1,1,26,0,0,78.85
164,0,3,0,17,0,0,8.6625
867,1,2,1,27,1,0,13.8583
317,1,2,1,24,1,0,26
97,0,1,0,71,0,0,34.6542
662,0,3,0,40,0,0,7.225
546,0,1,0,64,0,0,26
405,0,3,1,20,0,0,8.6625
223,0,3,0,51,0,0,8.05
298,0,1,1,2,1,2,151.55
810,1,1,1,33,1,0,53.1
545,0,1,0,50,1,0,106.425
211,0,3,0,24,0,0,7.05
373,0,3,0,19,0,0,8.05
656,0,2,0,24,2,0,73.5
55,0,1,0,65,0,1,61.9792
742,0,1,0,36,1,0,78.85
315,0,2,0,43,1,1,26.25
655,0,3,1,18,0,0,6.75
618,0,3,1,26,1,0,16.1
227,1,2,0,19,0,0,10.5
563,0,2,0,28,0,0,13.5
62,1,1,1,38,0,0,80
39,0,3,1,18,2,0,18
440,0,2,0,31,0,0,10.5
163,0,3,0,26,0,0,7.775
781,1,3,1,13,0,0,7.2292
157,1,3,1,16,0,0,7.7333
499,0,1,1,25,1,2,151.55
606,0,3,0,36,1,0,15.55
320,1,1,1,40,1,1,134.5
36,0,1,0,42,1,0,52
1,0,3,0,22,1,0,7.25
811,0,3,0,26,0,0,7.8875
419,0,2,0,30,0,0,13
81,0,3,0,22,0,0,9
714,0,3,0,29,0,0,9.4833
31,0,1,0,40,0,0,27.7208
570,1,3,0,32,0,0,7.8542
839,1,3,0,32,0,0,56.4958
573,1,1,0,36,0,0,26.3875
664,0,3,0,36,0,0,7.4958
871,0,3,0,26,0,0,7.8958
189,0,3,0,40,1,1,15.5
16,1,2,1,55,0,0,16
280,1,3,1,35,1,1,20.25
326,1,1,1,36,0,0,135.6333
153,0,3,0,55.5,0,0,8.05
857,1,1,1,45,1,1,164.8667
358,0,2,1,38,0,0,13
329,1,3,1,31,1,1,20.525
865,0,2,0,24,0,0,13
724,0,2,0,50,0,0,13
686,0,2,0,25,1,2,41.5792
86,1,3,1,33,3,0,15.85
89,1,1,1,23,3,2,263
466,0,3,0,38,0,0,7.05
592,1,1,1,52,1,0,78.2667
817,0,3,1,23,0,0,7.925
480,1,3,1,2,0,1,12.2875
841,0,3,0,20,0,0,7.925
361,0,3,0,40,1,4,27.9
380,0,3,0,19,0,0,7.775
342,1,1,1,24,3,2,263
434,0,3,0,17,0,0,7.125
