Accuracy,Recall,Specificity,Precision,F1,G
0.517483,0.517857,0.517241,0.408451,0.456693,0.459912
0.482517,0.482143,0.482759,0.375000,0.421875,0.425210
0.475524,0.553571,0.425287,0.382716,0.452555,0.460283
0.440559,0.392857,0.471264,0.323529,0.354839,0.356512
0.552448,0.535714,0.563218,0.441176,0.483871,0.486153
0.524476,0.500000,0.540230,0.411765,0.451613,0.453743
0.517483,0.589286,0.471264,0.417722,0.488889,0.496142
0.426573,0.410714,0.436782,0.319444,0.359375,0.362216
0.524476,0.535714,0.517241,0.416667,0.468750,0.472456
0.468531,0.500000,0.448276,0.368421,0.424242,0.429198
0.475524,0.500000,0.459770,0.373333,0.427481,0.432049
0.489510,0.482143,0.494253,0.380282,0.425197,0.428194
0.482517,0.571429,0.425287,0.390244,0.463768,0.472225
0.496503,0.464286,0.517241,0.382353,0.419355,0.421332
0.440559,0.464286,0.425287,0.342105,0.393939,0.398541
0.489510,0.535714,0.459770,0.389610,0.451128,0.456859
0.517483,0.500000,0.528736,0.405797,0.448000,0.450443
0.503497,0.535714,0.482759,0.400000,0.458015,0.462910
0.503497,0.535714,0.482759,0.400000,0.458015,0.462910
0.447552,0.375000,0.494253,0.323077,0.347107,0.348072
0.524476,0.500000,0.540230,0.411765,0.451613,0.453743
0.482517,0.571429,0.425287,0.390244,0.463768,0.472225
0.580420,0.553571,0.597701,0.469697,0.508197,0.509913
0.601399,0.571429,0.620690,0.492308,0.528926,0.530395
0.384615,0.428571,0.356322,0.300000,0.352941,0.358569
0.531469,0.589286,0.494253,0.428571,0.496241,0.502545
0.503497,0.446429,0.540230,0.384615,0.413223,0.414371
0.482517,0.392857,0.540230,0.354839,0.372881,0.373364
0.496503,0.464286,0.517241,0.382353,0.419355,0.421332
0.440559,0.446429,0.436782,0.337838,0.384615,0.388356
0.433566,0.517857,0.379310,0.349398,0.417266,0.425368
0.503497,0.500000,0.505747,0.394366,0.440945,0.444053
0.510490,0.464286,0.540230,0.393939,0.426230,0.427669
0.608392,0.535714,0.655172,0.500000,0.517241,0.517549
0.517483,0.446429,0.563218,0.396825,0.420168,0.420897
0.489510,0.464286,0.505747,0.376812,0.416000,0.418268
0.461538,0.500000,0.436782,0.363636,0.421053,0.426401
0.517483,0.607143,0.459770,0.419753,0.496350,0.504827
0.559441,0.571429,0.551724,0.450704,0.503937,0.507489
0.517483,0.500000,0.528736,0.405797,0.448000,0.450443
0.538462,0.482143,0.574713,0.421875,0.450000,0.451003
